EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,Education,EducationField,BusinessTravel,DistanceFromHome,JobLevel,MonthlyIncome,PercentSalaryHike,OverTime,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,TrainingTimesLastYear,StockOptionLevel,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Attrition,Attrition_Numeric,Tenure_Band
1001,41,Male,Single,Research & Development,Research Scientist,1,Marketing,Travel_Rarely,4,5,10261,11,No,4,0,0,0,0,1,3,0,2,2,2,2,3,Yes,1,0-1 yrs
1002,31,Male,Single,Research & Development,Research Director,3,Marketing,Travel_Rarely,4,1,5409,12,No,15,14,2,3,8,3,3,3,1,3,1,4,3,No,0,7+ yrs
1003,43,Female,Single,Research & Development,Research Director,3,Human Resources,Travel_Frequently,2,1,1776,18,Yes,5,2,0,2,2,5,3,0,1,1,3,3,3,Yes,1,2-3 yrs
1004,43,Male,Married,Sales,Manager,4,Other,Travel_Rarely,10,2,5794,13,No,7,1,0,1,1,1,2,0,3,4,2,3,3,No,0,0-1 yrs
1005,33,Female,Married,Research & Development,Research Director,2,Medical,Non-Travel,3,3,5811,16,No,1,1,1,0,1,5,2,1,1,3,3,2,3,Yes,1,0-1 yrs
1006,35,Female,Single,Research & Development,Laboratory Technician,3,Human Resources,Travel_Rarely,8,1,5441,18,Yes,8,3,1,1,3,2,1,0,4,2,3,3,3,Yes,1,2-3 yrs
1007,30,Male,Married,Research & Development,Manufacturing Director,4,Medical,Travel_Frequently,9,1,3566,11,No,2,1,1,1,1,5,2,0,4,3,3,2,3,Yes,1,0-1 yrs
1008,47,Male,Single,Sales,Manager,3,Other,Travel_Rarely,9,2,5134,11,No,1,1,1,1,1,5,2,1,4,2,3,3,3,No,0,0-1 yrs
1009,37,Male,Divorced,Research & Development,Research Director,5,Other,Travel_Rarely,19,2,5435,11,No,0,0,0,0,0,2,2,0,4,1,3,2,3,No,0,0-1 yrs
1010,34,Male,Divorced,Sales,Sales Representative,3,Life Sciences,Travel_Rarely,3,2,4900,16,Yes,8,8,4,4,5,2,2,3,3,1,4,1,3,Yes,1,7+ yrs
1011,28,Male,Divorced,Sales,Manager,2,Technical Degree,Travel_Rarely,7,3,6998,21,Yes,6,0,0,0,0,1,2,0,1,4,3,1,3,No,0,0-1 yrs
1012,33,Female,Single,Research & Development,Research Director,3,Life Sciences,Non-Travel,2,3,8043,12,Yes,11,6,2,3,1,1,6,1,1,2,2,2,3,Yes,1,4-6 yrs
1013,50,Female,Single,Research & Development,Laboratory Technician,3,Medical,Travel_Frequently,5,5,13037,15,No,12,5,0,1,0,4,4,0,4,3,3,3,3,No,0,4-6 yrs
1014,34,Female,Married,Research & Development,Laboratory Technician,1,Medical,Travel_Rarely,13,5,10891,12,No,4,0,0,0,0,4,1,1,3,3,3,3,3,No,0,0-1 yrs
1015,32,Male,Single,Research & Development,Research Director,1,Technical Degree,Travel_Rarely,18,2,6828,22,No,8,1,1,1,0,5,6,0,1,1,3,3,3,No,0,0-1 yrs
1016,40,Male,Divorced,Sales,Sales Executive,5,Life Sciences,Travel_Frequently,29,2,4556,18,No,6,2,0,0,2,4,4,1,3,2,3,3,3,No,0,2-3 yrs
1017,37,Male,Divorced,Research & Development,Research Scientist,3,Technical Degree,Travel_Rarely,27,5,12540,11,No,10,4,3,0,1,2,2,0,2,4,4,4,3,No,0,4-6 yrs
1018,34,Male,Single,Research & Development,Manufacturing Director,4,Human Resources,Travel_Rarely,9,2,7616,15,Yes,13,12,5,0,0,5,3,0,4,3,2,3,3,Yes,1,7+ yrs
1019,51,Male,Married,Sales,Sales Executive,3,Human Resources,Travel_Rarely,11,5,11360,15,No,1,1,0,0,1,5,4,0,2,3,3,3,3,No,0,0-1 yrs
1020,55,Male,Single,Research & Development,Manufacturing Director,5,Technical Degree,Travel_Rarely,7,1,5962,15,No,5,4,0,2,0,3,3,0,3,4,4,2,4,Yes,1,4-6 yrs
1021,21,Female,Married,Sales,Manager,3,Technical Degree,Travel_Rarely,18,1,6049,18,No,6,5,0,2,2,2,1,1,2,2,1,3,3,Yes,1,4-6 yrs
1022,34,Female,Divorced,Research & Development,Research Scientist,3,Life Sciences,Travel_Rarely,29,2,8653,14,Yes,15,12,0,1,0,2,1,0,2,4,4,3,3,Yes,1,7+ yrs
1023,22,Male,Married,Sales,Sales Representative,3,Technical Degree,Travel_Rarely,8,3,8008,11,No,10,4,4,0,1,1,1,0,1,2,3,3,3,Yes,1,4-6 yrs
1024,42,Male,Married,Research & Development,Manufacturing Director,5,Human Resources,Travel_Rarely,1,5,14684,14,No,22,17,6,3,0,3,6,1,4,3,3,3,3,No,0,7+ yrs
1025,31,Female,Married,Research & Development,Research Scientist,1,Human Resources,Travel_Rarely,29,1,4576,12,Yes,12,8,0,3,5,4,5,0,3,3,3,2,4,No,0,7+ yrs
