EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,Education,EducationField,BusinessTravel,DistanceFromHome,JobLevel,MonthlyIncome,PercentSalaryHike,OverTime,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,TrainingTimesLastYear,StockOptionLevel,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Attrition
1001,41,Male,Single,Research & Development,Research Scientist,1,Marketing,Travel_Rarely,4,5,10261,11,No,4,0,0,0,0,1,3,0,2,2,2,2,3,Yes
1002,31,Male,Single,Research & Development,Research Director,3,Marketing,Travel_Rarely,4,1,5409,12,No,15,14,2,3,8,3,3,3,1,3,1,4,3,No
1003,43,Female,Single,Research & Development,Research Director,3,Human Resources,Travel_Frequently,2,1,1776,18,Yes,5,2,0,2,2,5,3,0,1,1,3,3,3,Yes
1004,43,Male,Married,Sales,Manager,4,Other,Travel_Rarely,10,2,5794,13,No,7,1,0,1,1,1,2,0,3,4,2,3,3,No
1005,33,Female,Married,Research & Development,Research Director,2,Medical,Non-Travel,3,3,5811,16,No,1,1,1,0,1,5,2,1,1,3,3,2,3,Yes
1006,35,Female,Single,Research & Development,Laboratory Technician,3,Human Resources,Travel_Rarely,8,1,5441,18,Yes,8,3,1,1,3,2,1,0,4,2,3,3,3,Yes
1007,30,Male,Married,Research & Development,Manufacturing Director,4,Medical,Travel_Frequently,9,1,3566,11,No,2,1,1,1,1,5,2,0,4,3,3,2,3,Yes
1008,47,Male,Single,Sales,Manager,3,Other,Travel_Rarely,9,2,5134,11,No,1,1,1,1,1,5,2,1,4,2,3,3,3,No
1009,37,Male,Divorced,Research & Development,Research Director,5,Other,Travel_Rarely,19,2,5435,11,No,0,0,0,0,0,2,2,0,4,1,3,2,3,No
1010,34,Male,Divorced,Sales,Sales Representative,3,Life Sciences,Travel_Rarely,3,2,4900,16,Yes,8,8,4,4,5,2,2,3,3,1,4,1,3,Yes
1011,28,Male,Divorced,Sales,Manager,2,Technical Degree,Travel_Rarely,7,3,6998,21,Yes,6,0,0,0,0,1,2,0,1,4,3,1,3,No
1012,33,Female,Single,Research & Development,Research Director,3,Life Sciences,Non-Travel,2,3,8043,12,Yes,11,6,2,3,1,1,6,1,1,2,2,2,3,Yes
1013,50,Female,Single,Research & Development,Laboratory Technician,3,Medical,Travel_Frequently,5,5,13037,15,No,12,5,0,1,0,4,4,0,4,3,3,3,3,No
1014,34,Female,Married,Research & Development,Laboratory Technician,1,Medical,Travel_Rarely,13,5,10891,12,No,4,0,0,0,0,4,1,1,3,3,3,3,3,No
1015,32,Male,Single,Research & Development,Research Director,1,Technical Degree,Travel_Rarely,18,2,6828,22,No,8,1,1,1,0,5,6,0,1,1,3,3,3,No
1016,40,Male,Divorced,Sales,Sales Executive,5,Life Sciences,Travel_Frequently,29,2,4556,18,No,6,2,0,0,2,4,4,1,3,2,3,3,3,No
1017,37,Male,Divorced,Research & Development,Research Scientist,3,Technical Degree,Travel_Rarely,27,5,12540,11,No,10,4,3,0,1,2,2,0,2,4,4,4,3,No
1018,34,Male,Single,Research & Development,Manufacturing Director,4,Human Resources,Travel_Rarely,9,2,7616,15,Yes,13,12,5,0,0,5,3,0,4,3,2,3,3,Yes
1019,51,Male,Married,Sales,Sales Executive,3,Human Resources,Travel_Rarely,11,5,11360,15,No,1,1,0,0,1,5,4,0,2,3,3,3,3,No
1020,55,Male,Single,Research & Development,Manufacturing Director,5,Technical Degree,Travel_Rarely,7,1,5962,15,No,5,4,0,2,0,3,3,0,3,4,4,2,4,Yes
1021,21,Female,Married,Sales,Manager,3,Technical Degree,Travel_Rarely,18,1,6049,18,No,6,5,0,2,2,2,1,1,2,2,1,3,3,Yes
1022,34,Female,Divorced,Research & Development,Research Scientist,3,Life Sciences,Travel_Rarely,29,2,8653,14,Yes,15,12,0,1,0,2,1,0,2,4,4,3,3,Yes
1023,22,Male,Married,Sales,Sales Representative,3,Technical Degree,Travel_Rarely,8,3,8008,11,No,10,4,4,0,1,1,1,0,1,2,3,3,3,Yes
1024,42,Male,Married,Research & Development,Manufacturing Director,5,Human Resources,Travel_Rarely,1,5,14684,14,No,22,17,6,3,0,3,6,1,4,3,3,3,3,No
1025,31,Female,Married,Research & Development,Research Scientist,1,Human Resources,Travel_Rarely,29,1,4576,12,Yes,12,8,0,3,5,4,5,0,3,3,3,2,4,No
1026,50,Male,Single,Research & Development,Manufacturing Director,3,Marketing,Travel_Rarely,5,2,7163,16,No,17,10,1,1,1,0,3,0,3,3,3,3,3,No
1027,40,Male,Married,Research & Development,Laboratory Technician,4,Other,Travel_Rarely,12,1,3391,11,Yes,7,1,0,0,1,3,3,1,4,3,3,2,3,Yes
1028,18,Male,Divorced,Research & Development,Manufacturing Director,4,Other,Travel_Rarely,7,4,10511,11,No,6,3,3,0,3,1,4,0,1,4,3,1,3,No
1029,37,Female,Married,Sales,Sales Executive,4,Life Sciences,Travel_Frequently,1,2,7273,11,No,7,4,0,0,3,4,2,1,2,2,3,3,3,No
1030,35,Female,Married,Human Resources,Human Resources,3,Technical Degree,Travel_Rarely,1,1,3752,15,Yes,3,1,1,0,1,3,2,0,1,3,3,1,3,No
1031,37,Male,Single,Research & Development,Laboratory Technician,4,Technical Degree,Travel_Rarely,16,3,8901,14,Yes,10,4,0,4,0,4,4,0,1,4,2,3,3,Yes
1032,33,Female,Single,Sales,Manager,3,Technical Degree,Non-Travel,9,2,4092,17,No,10,4,1,3,1,2,4,2,3,3,3,2,4,Yes
1033,24,Female,Married,Sales,Sales Representative,5,Other,Travel_Rarely,5,2,6581,11,No,2,1,0,1,1,3,4,2,3,1,3,3,3,No
1034,28,Male,Single,Research & Development,Laboratory Technician,3,Human Resources,Travel_Rarely,2,3,8139,15,No,1,1,1,0,1,4,2,1,4,1,3,2,3,No
1035,22,Male,Single,Research & Development,Research Director,3,Technical Degree,Travel_Rarely,2,5,10699,20,No,4,2,0,0,2,5,4,1,3,3,2,4,3,No
1036,43,Female,Single,Research & Development,Laboratory Technician,4,Human Resources,Travel_Rarely,1,4,8821,18,No,8,2,2,1,2,2,3,0,1,3,2,2,3,No
1037,46,Female,Single,Research & Development,Research Director,5,Medical,Travel_Rarely,1,5,10944,11,No,4,2,2,0,1,1,4,0,4,3,3,3,4,No
1038,21,Male,Divorced,Sales,Sales Executive,1,Life Sciences,Travel_Rarely,3,1,6331,14,No,19,15,4,0,0,3,5,0,3,3,2,4,3,No
1039,25,Male,Divorced,Research & Development,Research Scientist,3,Medical,Travel_Rarely,2,3,8355,13,Yes,5,3,3,1,0,6,1,0,2,3,3,3,3,No
1040,42,Male,Single,Research & Development,Laboratory Technician,4,Human Resources,Travel_Rarely,29,4,11688,11,No,12,10,2,4,0,6,5,2,2,4,3,3,4,No
1041,39,Female,Divorced,Sales,Manager,4,Other,Travel_Rarely,2,2,5417,17,Yes,0,0,0,0,0,2,2,2,3,3,3,2,3,Yes
1042,37,Male,Married,Research & Development,Laboratory Technician,1,Life Sciences,Travel_Frequently,1,3,9910,12,Yes,26,23,3,3,3,3,2,0,1,2,3,3,3,Yes
1043,32,Male,Divorced,Sales,Sales Representative,1,Technical Degree,Non-Travel,10,1,4184,11,No,11,9,9,4,4,4,5,1,3,4,2,2,3,No
1044,49,Female,Divorced,Sales,Sales Executive,2,Marketing,Travel_Rarely,4,2,5911,11,Yes,7,4,2,2,1,1,0,1,3,2,3,2,3,No
1045,39,Male,Single,Research & Development,Laboratory Technician,1,Life Sciences,Travel_Rarely,6,2,6432,14,Yes,3,3,0,0,3,3,1,0,2,3,2,3,3,No
1046,30,Male,Single,Sales,Sales Representative,3,Life Sciences,Travel_Frequently,16,2,7101,22,No,10,8,1,3,6,4,4,1,4,3,1,2,3,No
1047,41,Male,Married,Sales,Sales Representative,3,Medical,Travel_Rarely,1,4,6893,11,No,1,1,1,1,0,4,4,1,4,3,3,3,4,No
